phase	depth	k	node	parent	z_k	nodes_at_depth	parent_rho	rho	bound_r2	remaining	center	delta	legal_lo	legal_hi	offset	P	Ptheta	N	Q	M
0	1	34	1	0	0	7	0	0	0.64229989051818848	0.64229989051818848	0	2.9540102859037018	-2	2	0	0.37347761549025899	0.37347761549025899	1807588	6.1514306209052578e-06	3.8007110221444451
0	2	33	3	1	0	33	0	0	0.64229989051818848	0.64229989051818848	0	2.7278783449683632	-2	2	0	0.38953587317845328	0.38953587317845328	943869	1.1780503621986624e-05	3.8007110221444451
0	3	32	16	3	0	133	0	0	0.64229989051818848	0.64229989051818848	0	2.8432504343345624	-2	2	0	0.3810084970616141	0.3810084970616141	461690	2.4083805525744316e-05	3.8007110221444451
0	4	31	49	16	0	437	0	0	0.64229989051818848	0.64229989051818848	0	2.5220112870661189	-2	2	0	0.40677382935920614	0.40677382935920614	251873	4.4146264876270555e-05	3.8007110221444451
0	5	30	128	49	0	1147	0	0	0.64229989051818848	0.64229989051818848	0	2.2920096979654834	-2	2	0	0.42980563640594482	0.42980563640594482	151252	2.5128335639492007e-05	3.8007110221444451
0	6	29	265	128	0	3005	0	0	0.64229989051818848	0.64229989051818848	0	2.3683218139756268	-2	2	0	0.4216589629650116	0.4216589629650116	88574	4.2910007701407241e-05	3.8007110221444451
0	7	28	704	265	0	7473	0	0	0.64229989051818848	0.64229989051818848	0	2.4294890957474626	-2	2	0	0.41550410413003125	0.41550410413003125	50027	7.5973194917633384e-05	3.8007110221444451
0	8	27	1495	704	0	16121	0	0	0.64229989051818848	0.64229989051818848	0	2.2560870401074085	-2	2	0	0.43383315205574036	0.43383315205574036	30373	0.00012513452810537139	3.8007110221444451
0	9	26	3422	1495	0	35971	0	0	0.64229989051818848	0.64229989051818848	0	2.4708939863288073	-2	2	0	0.41151432429296747	0.41151432429296747	16484	0.0002305697052987409	3.8007110221444451
0	10	25	7649	3422	0	74349	0	0	0.64229989051818848	0.64229989051818848	0	2.4042157637592299	-2	2	0	0.41800850629806519	0.41800850629806519	8965	0.00042394991881142724	3.8007110221444451
0	11	24	16552	7649	0	133683	0	0	0.64229989051818848	0.64229989051818848	0	2.1938581997558551	-2	2	0	0.44112309156174823	0.44112309156174823	5138	0.0007397257730915619	3.8007110221444451
0	12	23	49818	16552	-1	235794	0	0.12705173545422527	0.64229989051818848	0.64229989051818848	0	2.2484261268233343	-2	2	-0.44475555059166638	0.19509130716323853	0.19509130716323853	1194	0.0031831750604224833	3.8007110221444451
0	13	22	157596	49818	0	359495	0.12705173545422527	0.16169393883529135	0.64229989051818848	0.51524815506396315	0.4805067708293555	1.8531261342233163	-1	2	-0.25929523196258086	0.36726266692970194	0.36726266692970194	582	0.0065304313095265378	3.8007110221444451
0	14	21	501531	157596	0	450666	0.16169393883529135	0.19358746957175132	0.64229989051818848	0.48060595168289716	0.42469422805678259	1.6486164576590654	-1	2	-0.25760644695966606	0.40087166428565979	0.40087166428565979	316	0.01202756652577356	3.8007110221444451
0	15	20	1124273	501531	0	452456	0.19358746957175132	0.21394259003634203	0.64229989051818848	0.44871242094643715	0.29787444662720758	1.3985579163277022	-1	1	-0.21298685106252785	0.52746390510404251	0.52746390510404251	221	0.01719778743051785	3.8007110221444451
0	16	19	1608581	1124273	0	469767	0.21394259003634203	0.21642731482312944	0.64229989051818848	0.42835730048184645	0.11151361362807766	1.4641710977158569	-1	1	-0.07616160010400537	0.58499228954315186	0.58499228954315186	157	0.02420835045951876	3.8007110221444451
0	17	18	2197642	1608581	0	445688	0.21642731482312944	0.22079118140482668	0.64229989051818848	0.42587257569505904	-0.13772376224710137	1.3605452267264246	-1	1	0.10122689017731165	0.59444670983483328	0.59444670983483328	120	0.031672591851203712	3.8007110221444451
0	18	17	3642100	2197642	0	414837	0.22079118140482668	0.22843488136239148	0.64229989051818848	0.4215087091133618	0.18111454320302653	1.3449458075013949	-1	1	-0.1346630787596538	0.58094602823257446	0.58094602823257446	86	0.044194314210981918	3.8007110221444451
0	19	16	3999973	3642100	0	354068	0.22843488136239148	0.28266693604377213	0.64229989051818848	0.41386500915579699	-0.44923730829735098	1.2410153176255729	-1	0	0.36199175136441825	0.53973287343978882	0.53973287343978882	46	0.082624152655314018	3.8007110221444451
0	20	15	4221926	3999973	0	263442	0.28266693604377213	0.28826684759497412	0.64229989051818848	0.35963295447441634	-0.12809514719774023	1.0265304438013869	-1	0	0.12478455750750643	0.80299230822897871	0.80299230822897871	40	0.095017775553611128	3.8007110221444451
